Card 160: 83 97 81 82 90 68 54 57 24 96 | 26 90 51 86 47 93 43 32 14 46 54 50 79 37 28  3 21 24 96 33 83 31 82 29 72
Card 161: 40 64 36 35 17 82 15 52 20 79 | 36 32 57 52 60 46 17 16 20 79 75 35 58 65 44 63 47 49 82 48 76 64 40 15  4
Card 162: 82 68 31 74 28 39 94 34 61 80 | 74 25 38  3 66 32  1 19 28 39 31 94 67 78 99  7 68 80 18 42 61 72 82 49 34
Card 163: 73 89 42 20 85 80 45 71 75 32 | 14 39 54 81 69 47 79 46 20  2 43 88 92 31 45 32 80 55 30 85 27 40 63 73 75
Card 164: 75 44 66 52 15 32 53 99 19 48 | 27 26 44 55 48 96 32 29  2 53 52 15 51 83 79 22 41 66 50 28 91 99 61 75 19
Card 165: 63 15 31 95  9 83 77 42 80 68 | 31 13 48 93 78 69 82 44 57 28 11 84 86 20 40 76 99 30 47  1 88  6 49 51 21
Card 166: 93 15  3 43 88 77 24 36 70 74 | 58 36 21 77 15 37 28 22 46 41 88  7 23 47  9 63  3 93 91 70 74 43 26 24 76
Card 167: 59 10 26 33 69  4 47 21 78 54 | 78 21 85 44 52  5 80 64 42 30 11 59 22 10 33 69 47 23 86 50 20  4 54 26 96
Card 168: 93 33 56 73  7 32 66 75 35 18 | 54 83  8 29 81 19 51 77 36 26 86 56 76 90 85 46 18 96 79  3 13 57 40 53 59
Card 169:  4 25 15 63 18 35 64 88 43 29 | 15  1  7 21 84 67 36 33 37 17 65 25 30 18 51 83 63 99 98 66 92 73 39 52 22
Card 170: 70 44 78 92 43 99 58 36 45 52 | 21 53 74 78 83 95 20 27 69  8 18 15  7 51  2 13 46 57  9 50 17 33 48  6 10
Card 171: 14 18 42 99 88 89 76  5 60 67 | 11 43 99 89 85 84 53 41 23 60 13 59 18  9 95 88  8  2 25 77 76 54 28 79 14
Card 172: 14 36 61  7 96 68 48  3 25 26 | 90 21  7 78  3 44 33 34 62 61 31 10  8 37 12 94 11 20 60 91 41 28  9 80 48
Card 173: 23 13 66 64 57 61 62 12 85 55 | 78 58 36 84 66 19 95 60 31 98 50 75 83 64 96 16 14 47 72 74 86 61  6 65 63
Card 174: 87 17 65 38 93 64 23 35 44 30 | 18 74 73 34 58 46 54 97 85 42 67 53 92 21 90 70 12 32 82 61 57 37  3 94 29
Card 175: 16 40 45 76 34 43 82 29 15 65 | 74 15 25  5 16 93 18 84 33 17 37 34 44 72 59 47 43 95 54 39 75 48 69  7 61
Card 176: 97 38 94 13 74 37 95 17 73 40 | 93 44 64 39 15 46 30 16 35 50 85 71 49 99 36 34 98 47 43 83 76  2 78 52 29
Card 177: 47 35 15 69  3 28 31 36 99 19 | 29 53 70 11 37 22 50 92 76 80 71 30 58 63 20 32 83 68 34 17 81 14 13 62 59
Card 178: 20 89 11 12 41 26 49 82 27 56 | 73 40 86 43 75 59 46 81 78 67 44 68 93 98 22 51 92 66 14  5 13 31  7 83  3
Card 179: 77 72 54 47 44 12 74 80 19 35 | 87 85 17 34 73 31 25 23 39 79 75 82 15 41 68 58 57  1 61 36 50 65  2 96 94
Card 180: 20 15 32 52 24 80 25 23 41 92 | 52 61 67 28 29 80 16 25 97  2 86 53  9 33 57 56  1 23 41 20 32 12 24 92 15
